epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1425.77,0.56702,0.7715,0.33607,0.89743,0.9724,0.85662,0.9176,0.7834,0.96278,0.86872,0.9189,0.76442,0.5081,0.71065,0.28749,0.87701,0.0030695,0.0030695,0.0030695
41,1460.59,0.56509,0.75844,0.33254,0.89232,0.96873,0.85354,0.91593,0.78835,0.97425,0.8584,0.91833,0.77107,0.5076,0.72338,0.28976,0.87822,0.00302,0.00302,0.00302
42,1495.31,0.56377,0.76116,0.33247,0.89497,0.9748,0.85089,0.91639,0.78943,0.97613,0.86147,0.92435,0.77369,0.49802,0.73012,0.28472,0.8759,0.0029705,0.0029705,0.0029705
43,1530.45,0.56305,0.76283,0.33119,0.89562,0.97401,0.85026,0.91454,0.78343,0.97958,0.85512,0.91599,0.7524,0.50306,0.71903,0.29286,0.87736,0.002921,0.002921,0.002921
44,1565.92,0.55405,0.7479,0.32456,0.88658,0.95079,0.87034,0.91644,0.78924,0.95721,0.88493,0.92396,0.75803,0.49908,0.7211,0.29027,0.87367,0.0028715,0.0028715,0.0028715
45,1601.1,0.55383,0.74739,0.32453,0.88663,0.97211,0.84732,0.91391,0.78977,0.94768,0.88078,0.91976,0.76811,0.49083,0.70496,0.28383,0.87302,0.002822,0.002822,0.002822
46,1636.37,0.55999,0.75841,0.32716,0.88971,0.96539,0.85888,0.91578,0.78996,0.96245,0.87248,0.92008,0.76287,0.50009,0.71668,0.28959,0.87632,0.0027725,0.0027725,0.0027725
47,1671.43,0.55337,0.74494,0.32266,0.89202,0.96576,0.85737,0.91669,0.78726,0.9715,0.86224,0.91462,0.76025,0.49134,0.70553,0.28622,0.87315,0.002723,0.002723,0.002723
48,1706.98,0.55152,0.75023,0.32313,0.88789,0.96566,0.84927,0.91438,0.78511,0.97248,0.85901,0.91439,0.76392,0.50334,0.71476,0.28119,0.87627,0.0026735,0.0026735,0.0026735
49,1741.82,0.54962,0.7378,0.32104,0.88486,0.95652,0.86548,0.91737,0.78324,0.96776,0.87034,0.92073,0.7656,0.50334,0.71193,0.27981,0.87737,0.002624,0.002624,0.002624
50,1776.85,0.54783,0.73881,0.31984,0.88454,0.98425,0.85413,0.91996,0.79151,0.98044,0.85413,0.91783,0.77797,0.49315,0.7138,0.27723,0.87215,0.0025745,0.0025745,0.0025745
51,1811.45,0.54676,0.73758,0.31921,0.88754,0.96382,0.86348,0.91312,0.78782,0.96093,0.86872,0.91353,0.75369,0.49174,0.70944,0.28028,0.87543,0.002525,0.002525,0.002525
52,1846.32,0.55008,0.74591,0.32082,0.88181,0.97051,0.85355,0.91563,0.78708,0.97553,0.85575,0.91277,0.75548,0.50132,0.71127,0.28465,0.87268,0.0024755,0.0024755,0.0024755
53,1881.62,0.54905,0.74034,0.31944,0.88702,0.95709,0.86872,0.92187,0.79683,0.96559,0.87844,0.92898,0.77922,0.4792,0.68821,0.27918,0.86678,0.002426,0.002426,0.002426
54,1917.06,0.54079,0.73616,0.31373,0.88548,0.97403,0.85089,0.92017,0.79152,0.977,0.859,0.92013,0.77123,0.49752,0.69378,0.28505,0.87418,0.0023765,0.0023765,0.0023765
55,1952.43,0.54047,0.7356,0.31284,0.88312,0.95206,0.86548,0.91645,0.79121,0.96089,0.87034,0.9159,0.75633,0.48217,0.70189,0.28166,0.86823,0.002327,0.002327,0.002327
56,1987.98,0.54451,0.73752,0.31468,0.88304,0.94717,0.87174,0.91923,0.79087,0.9542,0.87797,0.91604,0.77101,0.48356,0.70262,0.278,0.86971,0.0022775,0.0022775,0.0022775
57,2027.15,0.53794,0.72391,0.3106,0.8817,0.96475,0.85089,0.91629,0.79425,0.97047,0.86224,0.91995,0.77068,0.48094,0.69498,0.27241,0.86909,0.002228,0.002228,0.002228
58,2066.01,0.53643,0.72564,0.3097,0.88067,0.95003,0.86271,0.919,0.78869,0.95536,0.86715,0.92166,0.76377,0.49568,0.70584,0.28636,0.8726,0.0021785,0.0021785,0.0021785
59,2102.31,0.53282,0.71514,0.30706,0.88186,0.96867,0.86062,0.92451,0.79929,0.96901,0.86062,0.92019,0.77394,0.48126,0.70179,0.26722,0.86754,0.002129,0.002129,0.002129
60,2137.58,0.54142,0.73155,0.31084,0.88238,0.95858,0.86267,0.92018,0.79478,0.97103,0.87358,0.92156,0.76594,0.48678,0.70077,0.27262,0.86981,0.0020795,0.0020795,0.0020795
61,2172.76,0.53162,0.71485,0.30571,0.87982,0.95398,0.88006,0.92477,0.79664,0.96288,0.88291,0.92117,0.77142,0.4791,0.68628,0.27073,0.86443,0.00203,0.00203,0.00203
62,2208.24,0.53807,0.73265,0.30778,0.87862,0.95925,0.86062,0.91755,0.7946,0.96704,0.85603,0.91741,0.76778,0.4828,0.69418,0.27301,0.86758,0.0019805,0.0019805,0.0019805
63,2244.97,0.52678,0.71118,0.30399,0.87781,0.96724,0.86144,0.92093,0.79383,0.9709,0.86511,0.92041,0.76419,0.48575,0.68952,0.27381,0.86693,0.001931,0.001931,0.001931
64,2291.89,0.53383,0.721,0.30449,0.87888,0.97712,0.85575,0.92073,0.79514,0.97734,0.87196,0.92337,0.77898,0.48547,0.68374,0.26884,0.86693,0.0018815,0.0018815,0.0018815
65,2327.66,0.52344,0.70646,0.30087,0.87628,0.96948,0.86386,0.92047,0.79596,0.97284,0.87085,0.91888,0.77642,0.49146,0.69279,0.27198,0.87028,0.001832,0.001832,0.001832
66,2363.49,0.52562,0.70937,0.29961,0.87761,0.97253,0.86086,0.92176,0.79501,0.97379,0.86548,0.92217,0.78652,0.48676,0.68989,0.27105,0.86653,0.0017825,0.0017825,0.0017825
67,2399.62,0.52365,0.7118,0.3012,0.87754,0.96776,0.85089,0.91958,0.79682,0.97424,0.8583,0.92104,0.77399,0.48845,0.69289,0.27205,0.87139,0.001733,0.001733,0.001733
68,2436.41,0.52031,0.69776,0.29879,0.87523,0.97722,0.84927,0.92225,0.7961,0.98128,0.859,0.92586,0.77969,0.4931,0.70681,0.27486,0.86726,0.0016835,0.0016835,0.0016835
69,2472.67,0.52266,0.7109,0.29897,0.87731,0.95483,0.87034,0.92116,0.79726,0.9607,0.87196,0.91905,0.76566,0.48281,0.68492,0.26868,0.86861,0.001634,0.001634,0.001634
70,2509.84,0.51841,0.70067,0.29626,0.87349,0.95013,0.87034,0.92085,0.79905,0.96575,0.88169,0.92745,0.79132,0.47581,0.68684,0.26799,0.86393,0.0015845,0.0015845,0.0015845
71,2546.35,0.52068,0.7045,0.29804,0.87447,0.97063,0.85687,0.91987,0.7961,0.9798,0.86462,0.92307,0.77288,0.49047,0.69125,0.27122,0.86865,0.001535,0.001535,0.001535
72,2582.76,0.51533,0.69575,0.29439,0.87277,0.95706,0.86701,0.92346,0.80062,0.96102,0.8752,0.92477,0.7867,0.47239,0.67942,0.26374,0.86416,0.0014855,0.0014855,0.0014855
73,2619.1,0.51855,0.70183,0.2942,0.87433,0.95577,0.87549,0.92343,0.79793,0.95576,0.8753,0.92268,0.78714,0.47959,0.68712,0.26454,0.86499,0.001436,0.001436,0.001436
74,2655.61,0.51866,0.69943,0.29496,0.8732,0.94858,0.8752,0.92084,0.79885,0.97787,0.85951,0.92265,0.7743,0.48751,0.70491,0.27078,0.86867,0.0013865,0.0013865,0.0013865
75,2692.61,0.51176,0.70034,0.29215,0.87163,0.98138,0.8543,0.92048,0.80022,0.99069,0.86211,0.92331,0.78854,0.48388,0.71572,0.26508,0.86621,0.001337,0.001337,0.001337
76,2729.17,0.51265,0.69214,0.29144,0.87323,0.98134,0.85214,0.919,0.79693,0.97427,0.85906,0.92165,0.778,0.48461,0.70904,0.26136,0.86654,0.0012875,0.0012875,0.0012875
77,2765.11,0.51344,0.69752,0.29171,0.87004,0.97239,0.8562,0.9176,0.79147,0.97975,0.86269,0.92012,0.76719,0.48642,0.69946,0.26591,0.86739,0.001238,0.001238,0.001238
78,2801.81,0.51736,0.70019,0.29311,0.8701,0.97393,0.85413,0.92315,0.79678,0.94884,0.88331,0.91849,0.76792,0.47958,0.68591,0.26541,0.86396,0.0011885,0.0011885,0.0011885
79,2838.2,0.51046,0.69546,0.28932,0.8727,0.96727,0.8671,0.91966,0.79998,0.97154,0.87682,0.92379,0.77854,0.48352,0.69194,0.2646,0.86593,0.001139,0.001139,0.001139
80,2874.49,0.50903,0.68292,0.28929,0.87088,0.96708,0.85692,0.9192,0.79869,0.97378,0.87196,0.92553,0.78424,0.47817,0.69299,0.26508,0.86503,0.0010895,0.0010895,0.0010895
81,2911.68,0.50766,0.68852,0.28704,0.86966,0.97415,0.85511,0.91774,0.79912,0.96445,0.87949,0.92672,0.78279,0.4749,0.68017,0.2595,0.86304,0.00104,0.00104,0.00104
82,2948.13,0.50942,0.68191,0.2873,0.87126,0.97605,0.859,0.9226,0.79988,0.98342,0.86548,0.92653,0.78934,0.47864,0.69527,0.26345,0.86465,0.0009905,0.0009905,0.0009905
83,2983.35,0.5081,0.69029,0.28738,0.86977,0.93463,0.88057,0.9188,0.79744,0.94316,0.88743,0.92167,0.77576,0.47256,0.6738,0.26517,0.86357,0.000941,0.000941,0.000941
84,3019.19,0.50344,0.68531,0.28616,0.86962,0.96578,0.85575,0.91703,0.79427,0.96906,0.86311,0.92667,0.77476,0.47597,0.68953,0.26528,0.86498,0.0008915,0.0008915,0.0008915
85,3055.38,0.50368,0.67629,0.28535,0.86626,0.97121,0.84927,0.91895,0.80115,0.97183,0.86062,0.92456,0.77923,0.4769,0.67828,0.26308,0.86454,0.000842,0.000842,0.000842
86,3091.26,0.50598,0.68725,0.28676,0.86958,0.96438,0.86548,0.92354,0.80369,0.9711,0.87151,0.92416,0.7789,0.46668,0.6698,0.26197,0.86068,0.0007925,0.0007925,0.0007925
87,3127.78,0.50607,0.68445,0.28433,0.86862,0.96136,0.86224,0.91917,0.80026,0.97061,0.87034,0.92429,0.78077,0.46895,0.68094,0.26034,0.86174,0.000743,0.000743,0.000743
88,3164.77,0.50074,0.6791,0.28399,0.86869,0.97075,0.86069,0.92112,0.80156,0.97428,0.87034,0.92243,0.78352,0.47063,0.67186,0.26375,0.86231,0.0006935,0.0006935,0.0006935
89,3202.25,0.50429,0.67938,0.28483,0.86905,0.97306,0.86062,0.92093,0.801,0.97908,0.86548,0.92311,0.78446,0.47215,0.68446,0.26082,0.86269,0.000644,0.000644,0.000644
90,3238.53,0.50066,0.67855,0.28278,0.86446,0.94749,0.87728,0.92111,0.80162,0.96871,0.86872,0.92429,0.78407,0.4729,0.68119,0.26156,0.86327,0.0005945,0.0005945,0.0005945
91,3292.97,0.48176,0.6888,0.27605,0.86073,0.96317,0.85737,0.91964,0.79882,0.97248,0.8671,0.9273,0.77363,0.48531,0.68453,0.26619,0.86769,0.000545,0.000545,0.000545
92,3339.36,0.47658,0.68012,0.27049,0.86062,0.97596,0.85534,0.91827,0.79628,0.98336,0.86176,0.92503,0.7806,0.47916,0.68619,0.26122,0.8647,0.0004955,0.0004955,0.0004955
93,3385.49,0.47611,0.67954,0.26918,0.86065,0.97448,0.85089,0.92185,0.79983,0.98517,0.86151,0.92539,0.78214,0.47434,0.67819,0.25973,0.86459,0.000446,0.000446,0.000446
94,3432.3,0.4717,0.67084,0.26734,0.86002,0.97773,0.85401,0.92441,0.80064,0.98861,0.86386,0.93003,0.78472,0.4747,0.68137,0.25741,0.86361,0.0003965,0.0003965,0.0003965
95,3479.29,0.47469,0.67827,0.26624,0.8578,0.97126,0.85575,0.92222,0.80262,0.9802,0.87034,0.92904,0.79227,0.4719,0.67739,0.25623,0.86201,0.000347,0.000347,0.000347
96,3532.67,0.47092,0.67424,0.26491,0.8558,0.97245,0.85821,0.92336,0.79931,0.97812,0.86932,0.9313,0.7919,0.47672,0.68152,0.25801,0.86329,0.0002975,0.0002975,0.0002975
97,3586.93,0.47058,0.67608,0.26564,0.85822,0.973,0.86062,0.92468,0.80262,0.98253,0.86872,0.92919,0.78815,0.47591,0.68218,0.25963,0.86182,0.000248,0.000248,0.000248
98,3641.94,0.46904,0.66954,0.26502,0.85623,0.97059,0.85594,0.9196,0.80279,0.96951,0.87611,0.92978,0.7914,0.4688,0.67599,0.25657,0.86209,0.0001985,0.0001985,0.0001985
99,3685.01,0.46608,0.67319,0.26239,0.85495,0.97234,0.85457,0.92038,0.80199,0.97971,0.86105,0.92314,0.78104,0.46756,0.67996,0.25714,0.86126,0.000149,0.000149,0.000149
100,3724.54,0.46675,0.67365,0.26233,0.85645,0.97417,0.85563,0.92246,0.80264,0.98524,0.86536,0.92922,0.79278,0.47347,0.68191,0.25678,0.86241,9.95e-05,9.95e-05,9.95e-05
